15	vuist	gaan	0.4779129386605014
50	duim	kennen	2.275590409376027
61	kies	krijgen	2.7320474746621666
64	wol	kruipen	2.582770789603392
67	voetlicht	komen	0.4404576026289316
74	honderd	lopen	2.7874549980309524
84	korrel	nemen	2.454350260394319
85	sleeptouw	nemen	0.9219194207461673
123	geranium	zitten	2.8603095219917236
124	lappenmand	zitten	2.0557020867442444
131	pet	houden	0.7971898277176308
132	water	halen	1.1028528317237782
133	achtergrond	blijven	0.6721327254548535
134	hand	doen	0.3514040703052519
135	duim	draaien	1.2728791830762036
136	zwaard	grijpen	0.9657623203613395
137	woord	houden	-0.06274088343993829
138	weg	helpen	0.773581074154536
139	borst	kloppen	1.2413781653605096
140	oor	knopen	2.1121010265991695
141	kast	komen	0.26669142048296446
142	dag	leven	0.6613066111083701
143	hoofd	leren	0.43764638881312273
144	bed	lichten	2.907393541109426
146	val	lopen	1.9916742630260278
147	arm	nemen	2.3109859661077423
148	stroom	roeien	3.0143300361688117
149	dak	schreeuwen	1.7519750638289004
150	kaart	spelen	1.5501306884940311
151	ves	spuwen	0
152	hemd	staan	0.6386936747924503
153	eer	strijken	2.481993141138414
154	hoed	toveren	1.8875416238164422
155	bel	trekken	2.131696847700022
156	jas	trekken	0.6570443138804386
157	gat	vallen	1.8222649588641247
158	rol	vallen	0.0020175571151192354
159	windmolen	vechten	-0.30151134457776363
160	zadel	wippen	2.1635099876855777
161	roos	zitten	2.4973174184289215
162	straat	zetten	1.3447677810374692
165	vuur	spelen	0.43129937405046964
166	kraag	vatten	1.2680454887993002
167	ziel	trappen	1.6522243175386737
168	handschoen	trouwen	0.6144138025584011
170	knie	krijgen	2.4695140628027596
171	wijs	brengen	0.41549266031682586
172	broek	doen	0.4415138229574801
173	vinger	hebben	0.960356130477789
174	deur	houden	0.9623925498036406
175	hand	houden	0.8056880562198645
176	achterhoofd	houden	1.4114298890808212
181	lat	staan	1.752098083981772
183	bocht	gaan	1.0071589074133314
184	aarde	vertrouwen	-0.26918497637819583
185	voet	maken	-0.35573927224592644
