15	vuist	gaan	0.6206061274782229
50	duim	kennen	2.665281148889284
61	kies	krijgen	2.6833726078519597
64	wol	kruipen	2.572355935856958
67	voetlicht	komen	0.7080226491015494
74	honderd	lopen	2.7856448964907434
84	korrel	nemen	2.095385852338301
85	sleeptouw	nemen	0.9448221826599352
123	geranium	zitten	2.684906325641445
124	lappenmand	zitten	1.9935292764800903
131	pet	houden	0.7014373859891541
132	water	halen	0.9601121932635688
133	achtergrond	blijven	0.46005793554774677
134	hand	doen	0.4691923970942763
135	duim	draaien	1.393911835677824
136	zwaard	grijpen	0.9640489046503172
137	woord	houden	0.1843362057601309
138	weg	helpen	0.9420153609730963
139	borst	kloppen	1.3208071835844062
140	oor	knopen	2.166473559602393
141	kast	komen	0.38452236193771894
142	dag	leven	0.6636944235012477
143	hoofd	leren	0.578119807789326
144	bed	lichten	2.91057345012717
146	val	lopen	2.045275550729338
147	arm	nemen	1.7717741989871818
148	stroom	roeien	3.014766383724265
149	dak	schreeuwen	1.7715458497476706
150	kaart	spelen	1.3945359375696227
151	ves	spuwen	0
152	hemd	staan	0.257144359606858
153	eer	strijken	2.487725551799934
154	hoed	toveren	1.3454224631620588
155	bel	trekken	1.2005735915372564
156	jas	trekken	0.6554212008150581
157	gat	vallen	2.6352086090628974
158	rol	vallen	-0.24192777693814435
159	windmolen	vechten	-0.30151134457776363
160	zadel	wippen	2.1800134843162873
161	roos	zitten	2.3450175091595002
162	straat	zetten	1.5002589477766486
165	vuur	spelen	0.7923724316123875
166	kraag	vatten	1.2452786052025888
167	ziel	trappen	1.6413541327295182
168	handschoen	trouwen	0.6692960080088263
170	knie	krijgen	1.1439635218291704
171	wijs	brengen	0.4558730923344668
172	broek	doen	1.8086039971123826
173	vinger	hebben	1.1061309898724996
174	deur	houden	1.8624304441913067
175	hand	houden	0.6153004923571694
176	achterhoofd	houden	1.4120625753103633
181	lat	staan	2.5032231996041676
183	bocht	gaan	1.0088960009002481
184	aarde	vertrouwen	-0.21980280777441627
185	voet	maken	-1.0077636854061194
