"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"hemd van het lijf ","  0"," 95","  0","  0"," 88","174","  0","  0"," 59","  0","  0","  0","225","  0"," 53","741"," 43"," 22","  0"
"hol van de leeuw ","    0","  248","    0","    0","   96","  174","    0","14106","  368","    0","    0","    0","    0","    0","  301","    0","  280","   43","    0"
"hond in de pot ","   0","   0","   0","   0","  35","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0"," 323","  43","1397"
"hoofd als een boei "," 0"," 0"," 0"," 0","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"hoofd boven water ","   0"," 611","1236","  42"," 324"," 464","   0","   0"," 827","1033","   0","   0"," 225","   0"," 284","2222","  65"," 326","   0"
"hoofd in de wolken ","  0","286","  0"," 42","105","  0","  0","  0","146","115","  0","  0","  0","  0"," 89","  0","151","  0","  0"
"hoofd op hol ","  0","611","  0","126","140","116","  0","  0","208","  0","  0","  0","  0","  0","230","  0"," 43"," 65","  0"
"in de arm nemen","   0"," 917","   0","  42"," 114"," 116","   0","   0"," 791"," 459","   0","1592"," 451","   0","   0"," 741"," 172","  87","   0"
"in de kaart spelen","   0"," 420"," 412","   0"," 727","  58","   0","   0","1018","1779","   0","   0","2029","   0"," 213","   0"," 151"," 239","   0"
"in de kraag vatten","  0"," 38","  0","  0"," 53","  0","  0","  0","808","  0","  0","  0","  0","  0"," 35","  0","172","109","  0"
"in de lappenmand ","   0","  19","   0","   0","  70","  58","   0","   0","1840","   0","   0","   0","   0","   0","   0","   0"," 280","   0","   0"
"in de val lopen","   0"," 802","   0"," 168"," 350","  58","  47","   0"," 253"," 402","   0","   0","   0","   0","1010","   0","   0"," 261","   0"
"in de vingers hebben","   0"," 248","   0","   0","  53"," 116","   0","   0"," 180","   0","   0","   0"," 225","   0"," 106","2222","  86","  22","   0"
"in het achterhoofd houden","   0"," 496"," 824"," 126","1008"," 464","   0","   0"," 527","1263","   0","1592","1127","1381"," 230","   0"," 604","  65","   0"
"in het honderd ","   0"," 439","   0","   0"," 368"," 290","  47","   0","1044"," 402","   0","   0"," 902","   0"," 567","   0"," 302"," 348","   0"
"in mijn keel kloppen","   0","1031","   0","  42","   0","   0","   0","   0","  38","   0","   0","   0","   0","   0","  35","   0","  22","   0","   0"
"in uw oren knopen","  0","248","  0"," 42","534"," 58","  0","  0","102","115","  0","  0","  0","  0","124","  0","194","  0","  0"
"in vuur en vlam ","   0","1165","   0","1095"," 175"," 927","   0","   0"," 699"," 287","   0","   0"," 225","   0"," 603","   0"," 129","  65","   0"
"in zak en as ","  0","286","  0"," 42","184"," 58","  0","  0","565","  0","  0","  0","  0","  0"," 89","  0","151"," 43","  0"
"in zijn broek doen","   0"," 630","   0"," 884"," 780"," 116","   0","   0"," 191","   0","   0","   0","   0","   0","1967","   0"," 259","  43","   0"
"in zijn hemd staan","  0","210","  0","  0"," 61","  0","  0","  0"," 71","  0","  0","  0","225","  0"," 18","  0","129"," 22","  0"
"in zijn mond lopen","  0","153","  0"," 42","105","  0","  0","  0"," 21","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0"
"kaas van het brood eten","  0"," 76","  0","  0"," 53","116","  0","  0"," 64"," 57","  0","  0","  0","  0"," 89","  0"," 86"," 22","  0"
"kat in een zak ","  0"," 57","  0","168","184","  0","  0","  0","111","172","  0","  0","  0","  0","284","  0","151"," 65","  0"
"kat op het spek "," 0"," 0"," 0"," 0","61"," 0"," 0"," 0","45"," 0"," 0"," 0"," 0"," 0","18"," 0","22","43"," 0"
"kind met het badwater ","   0","  19","   0","   0"," 385","  58","   0","   0","  90"," 344","   0","1592","   0","   0","  18","   0","  65","  22","   0"
"kind van de rekening ","   0","  38","   0","   0"," 175"," 116","   0","   0"," 394","1033","   0","   0"," 676","   0","  18","   0","  86","  87","   0"
"kink in de kabel ","   0","  19","   0","  42"," 131","5854","   0","   0"," 286"," 287","   0","   0","   0","   0"," 230","   0","  86","  65","   0"
"knollen voor citroenen ","  0"," 19","412","  0"," 26","  0","  0","  0"," 43","115","  0","  0","  0","  0","  0","  0","129","  0","  0"
"koe bij de hoorns "," 0","76"," 0"," 0","18"," 0"," 0"," 0","12","57"," 0"," 0"," 0"," 0","18"," 0","22"," 0"," 0"
"kogel is door de kerk ","  0"," 57","  0","  0","272","869","  0","  0","673"," 57","  0","  0","  0","  0","142","  0","798"," 22","  0"
"kont tegen de krib "," 0","19"," 0"," 0","96","58"," 0"," 0","47"," 0"," 0"," 0"," 0"," 0"," 0"," 0","65"," 0"," 0"
"kop in de wind ","  0"," 19","  0","  0"," 26","  0","  0","  0"," 21","  0","  0","  0","  0","  0"," 18","  0","129","  0","  0"
"kop in het zand ","   0"," 363","   0"," 126","1130","  58","   0","   0"," 293"," 574","   0","   0","   0","   0"," 177","   0"," 474","  87","   0"
"kous op de kop ","   0","  38","   0","   0","  35","   0","   0","   0","  24","   0","   0","1592","   0","   0","   0","   0","  86","   0","   0"
"leven in de brouwerij ","   0","  38","   0","1727"," 175"," 116","   0","   0"," 295","   0","   0","   0","   0"," 691"," 266","   0"," 129","  22","   0"
"luis in de pels ","  0"," 38","  0","  0","158","348","  0","  0","281"," 57","  0","  0","451","  0"," 18","  0","129"," 22","  0"
"mazen van het net ","   0","  76","   0","   0"," 263"," 232","  94","   0"," 432"," 115","   0","1592","   0","   0","  89","   0","   0","  43","   0"
"met de deur in huis ","     0","   420","     0"," 22319","   193","   232","     0","     0","   265","   402","     0","     0","   451","     0","   780","  2222","   151","    22","892590"
"met de duimen draaien","  0"," 19","  0","  0"," 61"," 58","  0","  0"," 24","  0","  0","  0","  0","  0","124","  0","  0"," 22","  0"
"met de eer strijken","  0","286","  0","  0","  9","174","  0","  0"," 71"," 57","  0","  0","225","  0","160","  0","151"," 22","  0"
"met de handen in het haar zitten","  0","115","  0","  0","421","174","  0","  0","886"," 57","  0","  0","  0","  0","106","741"," 86","  0","  0"
"met de handschoen trouwen","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"met de kippen op stok "," 0","38"," 0","42","26"," 0"," 0"," 0","12"," 0"," 0"," 0"," 0"," 0","35"," 0","22","43"," 0"
"met vlag en wimpel ","  0","134","  0","  0"," 88","406","  0","  0","163","  0","  0","  0","  0","  0"," 71","  0","108","130","  0"
"met vuur spelen","  0","267","412","253","859","  0","  0","  0","392","517","  0","  0","225","  0","922","  0","323"," 22","  0"
"naar het zwaard grijpen"," 0","76"," 0"," 0","18"," 0"," 0"," 0"," 5","57"," 0"," 0"," 0"," 0","35"," 0"," 0"," 0"," 0"
"neus in de boeken ","  0","210","  0","  0"," 79"," 58","  0","  0"," 73","  0","  0","  0","  0","  0","213","  0","194"," 22","  0"
"neus in de boter ","  0"," 38","  0","  0"," 18","  0","  0","  0"," 28","  0","  0","  0","  0","  0"," 18","  0","323"," 43","  0"
"neus in de wind "," 0","57"," 0"," 0","18","58"," 0"," 0","90"," 0"," 0"," 0"," 0"," 0","35"," 0","22","43"," 0"
"neus op de feiten ","  0","153","  0","126","552","116","  0","  0","621","574","  0","  0","  0","  0","337","  0"," 65"," 43","  0"
"olie op het vuur ","   0"," 210","1236","  42"," 797"," 232","   0","   0"," 742","1091","   0","   0","1127","   0"," 195","   0"," 237"," 109","   0"
"om mijn hart slaan"," 0","57"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"onder de knie krijgen","   0"," 802","1236","   0"," 631"," 869","   0","   0","1096"," 287","   0","   0","   0","   0"," 780","3703"," 517"," 304","2794"
"onder de lat staan","   0","   0","   0","   0","   9","   0","   0","   0","1009","   0","   0","   0","   0","   0","   0","   0","   0","  87","   0"
"onder de pet houden","  0"," 19","  0","  0"," 18","290","  0","  0"," 66","  0","  0","  0","  0","  0","  0","  0","302"," 22","  0"
"onder de wol ","   0"," 286","   0","1221"," 175"," 174","   0","   0"," 321","   0","   0","   0","   0","1381"," 301","   0","1660","  22","   0"
"onderste uit de kan ","   0","  38","   0","   0","  79","   0","   0","   0"," 331"," 689","   0","1592","   0","   0"," 160","   0","  22","  43","   0"
"oogje in het zeil ","   0"," 707","   0","  42"," 280"," 522","   0","   0","1861"," 631","   0","   0"," 225"," 691","1312","   0"," 194"," 196","   0"
"op alle slakken zout ","   0","   0","   0","   0","  88","   0","   0","   0","  57","   0","   0","1592","   0","   0","   0"," 741","  65","  43","   0"
"op de achtergrond blijven","  0","477","  0"," 42","202"," 58","  0","  0","385","115","  0","  0","676","  0","301","741","129","565","  0"
"op de borst kloppen","  0","554","412"," 42","219","  0","  0","  0","371","230","  0","  0","  0","  0"," 18","  0"," 86"," 43","  0"
"op de korrel ","   0"," 554","   0","  42"," 438","1275","   0","   0","1585"," 344","   0","   0"," 225","   0"," 248","   0"," 216"," 217","   0"
"op de vuist ","   0"," 554","   0"," 295"," 438"," 464","   0","   0","1651","  57","   0","1592"," 225","   0"," 408","   0"," 259"," 174","   0"
"op de ziel trappen","  0","115","  0"," 42","263","  0","  0","  0"," 80","  0","  0","  0","  0","  0"," 71","  0"," 22","  0","  0"
"op rozen zitten","  0"," 38","  0"," 42"," 79","174","  0","  0","891"," 57","  0","  0","  0","  0"," 89","  0"," 43","  0","  0"
"op sleeptouw ","3577"," 668"," 412","  42"," 263"," 985","   0","   0","2057"," 230","   0","   0","1803","   0"," 479","   0"," 280"," 174","   0"
"op straat zetten","   0"," 783","   0"," 590","1305"," 754","   0","   0","1687"," 574","   0","   0","   0","   0","1790","   0"," 345"," 152","   0"
"op water en brood ","  0"," 95","  0"," 84","184","174","  0","  0","113","  0","  0","  0","  0","  0"," 35","  0"," 43"," 43","  0"
"op weg helpen"," 3577","  955"," 2472","  168","  885"," 1449","    0","14106","  711"," 1033","    0","    0","    0","    0","  851"," 3703"," 1056","  109","    0"
"op zijn duimpje ","  0","286","  0","  0"," 35"," 58","  0","  0","196"," 57","  0","  0","  0","  0","195","741","129","  0","  0"
"op zijn vestje spugen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"oren van het hoofd ","3577"," 325","   0","   0"," 333","  58","   0","   0","  97","   0","   0","   0","   0","   0","  53","   0","  86","  22","   0"
"over koetjes en kalfjes ","  0","917","  0","379","158","174","  0","  0","113"," 57","  0","  0","  0","  0","284","  0"," 22"," 22","  0"
"paard achter de wagen ","  0"," 38","  0","  0"," 96","  0","  0","  0"," 92","344","  0","  0","  0","  0","  0","  0","129","  0","  0"
"pap in de benen "," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","43"," 0"
"parels voor de zwijnen ","  0"," 57","  0","168","184","232","  0","  0"," 47","  0","  0","  0","  0","691"," 89","  0"," 65","  0","  0"
"pas op de plaats ","  0","191","  0","  0","140","  0","  0","  0","326","631","  0","  0","  0","  0"," 18","741","172"," 43","  0"
"poot aan de grond ","  0"," 38","  0"," 42"," 26","116","  0","  0","220","  0","  0","  0","225","  0","  0","  0"," 22"," 22","  0"
"regen in de drup ","   0","  76","   0","   0","  61","5506","   0","   0","  71"," 230","   0","   0","   0","   0","   0"," 741"," 194","  43","   0"
"roet in het eten ","   0"," 286","   0","  42"," 456","1391","   0","   0","2275"," 574","   0","   0","1352"," 691"," 301","   0"," 539"," 435","   0"
"rug tegen de muur ","  0","783","  0"," 42","543","348","  0","  0","728","230","  0","  0","225","  0","496","741","172"," 65","  0"
"schaapjes op het droge ","  0"," 38","  0","  0"," 26","  0","  0","  0","180","  0","  0","  0","  0","  0"," 89","  0","  0"," 43","  0"
"slag om de arm ","   0"," 134","   0","   0","  96","  58","   0","   0"," 397"," 287","   0","1592"," 676","   0","   0","   0"," 366","  22","   0"
"snel door de bocht gaan","  0"," 57","  0"," 42","123","  0","  0","  0"," 99","  0","  0","  0","225","  0"," 35","741"," 43","174","  0"
"spijker op zijn kop ","  0","153","  0","  0","123"," 58","  0","  0"," 80","115","  0","  0","  0","  0"," 71","  0","948","  0","  0"
"spijkers met koppen ","   0","  95","   0"," 126"," 105"," 406","   0","   0"," 161","2124","   0","   0","   0"," 691","  35","1481"," 474","  22","   0"
"sterren van de hemel ","  0","306","  0"," 84"," 61","116","  0","  0","208","  0","  0","  0","  0","  0"," 18","  0","366"," 87","  0"
"stok achter de deur ","   0","  95"," 412","   0"," 832"," 116","   0","   0"," 668"," 287","   0","9553"," 902","   0","  35","   0"," 582","  65","   0"
"stuk in zijn kraag ","  0","115","  0"," 84"," 53"," 58","  0","  0"," 64","  0","  0","  0","  0","  0"," 89","  0"," 86"," 43","  0"
"tegen de stroom op roeien"," 0","38"," 0"," 0","26"," 0"," 0"," 0","31"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"tegen windmolens vechten"," 0","19"," 0"," 0","79"," 0"," 0"," 0","47"," 0"," 0"," 0"," 0"," 0","53"," 0","43","22"," 0"
"tot aan de lippen staan","  0"," 57","  0","  0"," 26"," 58","  0","  0","111","115","  0","  0","225","  0"," 18","  0"," 43"," 22","  0"
"tussen wal en schip ","   0","  57","   0","   0"," 123"," 522","   0","   0"," 241"," 344","9015","   0"," 451","   0","  18"," 741"," 237"," 109","   0"
"twee vliegen in één klap ","   0"," 229","1236"," 295"," 683"," 754","   0","   0"," 435"," 172","   0","   0","   0","   0"," 390"," 741"," 496","  43","   0"
"uit de kast komen","   0"," 115","   0","1095"," 377"," 348","   0","   0"," 286","  57","   0","   0","   0","   0"," 160","   0","1315"," 130","   0"
"uit het hoofd leren","   0","1719","   0","   0"," 254"," 811","   0","   0"," 456","   0","   0","   0","   0","   0"," 514","3703"," 647"," 456","   0"
"uit het zadel wippen","  0","  0","  0","  0"," 26","  0","  0","  0"," 45","115","  0","  0","676","  0"," 18","  0"," 22"," 22","  0"
"uit zijn hoed toveren","  0","191","  0"," 42","210","522","  0","  0","302"," 57","  0","  0","  0","  0","106","  0"," 86"," 43","  0"
"uit zijn rol vallen","  0","267","  0"," 84","131","116","  0","  0","189"," 57","  0","  0","  0","  0","177","  0"," 22","  0","  0"
"van de daken schreeuwen","  0","229","  0","126","526","348","  0","  0","472","402","  0","  0","  0","  0","230","  0","237","  0","  0"
"van de hand doen","3577"," 592","   0","   0"," 491","1971"," 234","   0","1942"," 230","   0","   0","   0","   0"," 195"," 741","  43"," 196","   0"
"van de wijs brengen","   0","1241","   0"," 337"," 114"," 116","   0","   0"," 572"," 344","   0","   0","   0","   0"," 160","1481","  86"," 109","   0"
"van een mug een olifant ","  0"," 38","  0"," 42","385","  0","  0","  0"," 43","  0","  0","  0","  0","  0","160","  0","194"," 43","  0"
"van zijn bed lichten","  0"," 76","  0","  0","140","  0","  0","  0","213","  0","  0","  0","  0","  0"," 35","  0"," 65","109","  0"
"veeg uit de pan ","  0"," 95","  0"," 42","272","290","  0","  0","517"," 57","  0","  0","  0","  0"," 71","  0","151","  0","  0"
"vel over been ","  0","420","  0","168","473"," 58","  0","  0"," 71","  0","  0","  0","  0","  0","106","  0","  0"," 22","  0"
"vinger aan de pols ","    0","  134"," 2472","    0","  202"," 1217","    0","14106","  612","  804"," 1502"," 1592","  902","    0","   35"," 2222","  453","   22","    0"
"vinger in de pap ","   0"," 248","   0","   0"," 456"," 232","   0","   0"," 498"," 574","   0","1592"," 451","   0"," 142"," 741"," 129"," 217","   0"
"vinger op de zere plek ","   0"," 210","   0","   0","  79","   0","   0","   0"," 146"," 459","1502","   0"," 676","   0","  18","   0"," 366","   0","   0"
"voet bij stuk ","   0","1165","   0","  42","1051"," 290","   0","   0"," 784","2238","   0","   0","2029","   0"," 496","   0"," 259"," 283","   0"
"vogel voor de kat ","  0"," 19","  0","253","166","290","  0","  0","562","  0","  0","  0","  0","  0","213","  0","  0","  0","  0"
"voor een appel en een ei ","  0"," 76","  0"," 84","412","116","  0","  0","224"," 57","  0","  0","  0","  0"," 89","  0"," 65"," 43","  0"
"voor het voetlicht ","   0"," 516","   0","   0","  35","1217"," 140","   0"," 446","1550","1502","   0"," 676","   0","  35","1481"," 280"," 370","   0"
"voor spek en bonen ","  0"," 38","  0"," 84","184","116","  0","  0","210","  0","  0","  0","  0","  0","124","  0","280"," 65","  0"
"voor zijn kiezen "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","21","57"," 0"," 0"," 0"," 0"," 0"," 0","22"," 0"," 0"
"vuur aan de schenen ","  0","153","412","  0","202","985","  0","  0","716"," 57","  0","  0","  0","  0","160","  0","129"," 43","  0"
"vuur uit de sloffen ","  0","153","  0","  0"," 44","  0","  0","  0"," 83","115","  0","  0","  0","  0","  0","  0"," 86","  0","  0"
"waar voor hun geld ","14310","  344","  412","  126","  245","  406","    0","    0","  661","  976","    0","    0","  225","    0","  319","    0","  517","    0","    0"
"wal in de sloot ","  0"," 38","  0","  0"," 35","  0","  0","  0","  9","  0","  0","  0","225","  0"," 35","  0"," 65"," 65","  0"
"water bij de wijn ","  0","191","  0","337","937","116","  0","  0","406","804","  0","  0","225","  0","230","  0","323"," 65","  0"
"water naar de zee ","  0","  0","  0","  0"," 70","116","  0","  0","123"," 57","  0","  0","  0","  0"," 53","  0","108","  0","  0"
"wind uit de zeilen ","  0","134","  0","  0","123"," 58","  0","  0","220","287","  0","  0","676","  0"," 35","  0","151","283","  0"
"zich uit de voeten maken","  0","878","  0","  0"," 53","232","  0","  0","328"," 57","  0","  0","  0","  0","337","  0"," 43"," 65","  0"
"ziel onder de arm "," 0","57"," 0"," 0","96"," 0"," 0"," 0","24"," 0"," 0"," 0"," 0"," 0"," 0"," 0","65"," 0"," 0"
"zool van z'n andere schoen lopen"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0","35"," 0"," 0","22"," 0"
"zout in de wonde ","  0","229","  0","168","193","  0","  0","  0","317","115","  0","  0","902","  0","248","  0","172"," 87","  0"
