"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"kous op de kop ","   0.00000","  38.19012","   0.00000","   0.00000","  35.04434","   0.00000","   0.00000","   0.00000","  23.62170","   0.00000","   0.00000","1592.22992","   0.00000","   0.00000","   0.00000","   0.00000","  86.21726","   0.00000","   0.00000"
"leven in de brouwerij ","   0.00000","  38.19012","   0.00000","1726.54348"," 175.22171"," 115.92526","   0.00000","   0.00000"," 295.27129","   0.00000","   0.00000","   0.00000","   0.00000"," 690.72604"," 265.86462","   0.00000"," 129.32589","  21.73801","   0.00000"
"luis in de pels ","  0.00000"," 38.19012","  0.00000","  0.00000","157.69954","347.77577","  0.00000","  0.00000","281.09827"," 57.39506","  0.00000","  0.00000","450.81130","  0.00000"," 17.72431","  0.00000","129.32589"," 21.73801","  0.00000"
"mazen van het net ","   0.00000","  76.38025","   0.00000","   0.00000"," 262.83256"," 231.85051","  93.54816","   0.00000"," 432.27717"," 114.79012","   0.00000","1592.22992","   0.00000","   0.00000","  88.62154","   0.00000","   0.00000","  43.47602","   0.00000"
"met de deur in huis ","     0.00000","   420.09135","     0.00000"," 22318.73273","   192.74388","   231.85051","     0.00000","     0.00000","   264.56308","   401.76543","     0.00000","     0.00000","   450.81130","     0.00000","   779.86955","  2221.95230","   150.88021","    21.73801","892590.24381"
"met de duimen draaien","  0.00000"," 19.09506","  0.00000","  0.00000"," 61.32760"," 57.96263","  0.00000","  0.00000"," 23.62170","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","124.07016","  0.00000","  0.00000"," 21.73801","  0.00000"
"met de eer strijken","  0.000000","286.425920","  0.000000","  0.000000","  8.761085","173.887883","  0.000000","  0.000000"," 70.865110"," 57.395061","  0.000000","  0.000000","225.405651","  0.000000","159.518772","  0.000000","150.880207"," 21.738011","  0.000000"
"met de handen in het haar zitten","  0.00000","114.57037","  0.00000","  0.00000","420.53210","173.88788","  0.00000","  0.00000","885.81388"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000","106.34585","740.65077"," 86.21726","  0.00000","  0.00000"
"met de handschoen trouwen","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","2.36217","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"met de kippen op stok "," 0.00000","38.19012"," 0.00000","42.11082","26.28326"," 0.00000"," 0.00000"," 0.00000","11.81085"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","35.44862"," 0.00000","21.55432","43.47602"," 0.00000"
"met vlag en wimpel ","  0.00000","133.66543","  0.00000","  0.00000"," 87.61085","405.73839","  0.00000","  0.00000","162.98975","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 70.89723","  0.00000","107.77158","130.42807","  0.00000"
"met vuur spelen","  0.00000","267.33086","412.07138","252.66490","858.58637","  0.00000","  0.00000","  0.00000","392.12028","516.55555","  0.00000","  0.00000","225.40565","  0.00000","921.66402","  0.00000","323.31473"," 21.73801","  0.00000"
"naar het zwaard grijpen"," 0.000000","76.380245"," 0.000000"," 0.000000","17.522171"," 0.000000"," 0.000000"," 0.000000"," 4.724341","57.395061"," 0.000000"," 0.000000"," 0.000000"," 0.000000","35.448616"," 0.000000"," 0.000000"," 0.000000"," 0.000000"
