duim	kennen	2.275590409376027
kies	krijgen	2.7320474746621666
wol	kruipen	2.582770789603392
voetlicht	komen	0.4404576026289316
honderd	lopen	2.7874549980309524
korrel	nemen	2.454350260394319
sleeptouw	nemen	0.9219194207461673
vuist	gaan	0.4779129386605014
pet	houden	0.7971898277176308
water	halen	1.1028528317237782
achtergrond	blijven	0.6721327254548535
hand	doen	0.3514040703052519
duim	draaien	1.2728791830762036
zwaard	grijpen	0.9657623203613395
woord	houden	-0.06274088343993829
weg	helpen	0.773581074154536
borst	kloppen	1.2413781653605096
oor	knopen	2.1121010265991695
kast	komen	0.26669142048296446
dag	leven	0.6613066111083701
hoofd	leren	0.43764638881312273
bed	lichten	2.907393541109426
geranium	zitten	2.8603095219917236
val	lopen	1.9916742630260278
arm	nemen	2.3109859661077423
stroom	roeien	3.0143300361688117
dak	schreeuwen	1.7519750638289004
kaart	spelen	1.5501306884940311
vest	spuwen	-0.44371830322527195
hemd	staan	0.6386936747924503
eer	strijken	2.481993141138414
hoed	toveren	1.8875416238164422
bel	trekken	2.131696847700022
jas	trekken	0.6570443138804386
gat	vallen	1.8222649588641247
rol	vallen	0.0020175571151192354
windmolen	vechten	-0.30151134457776363
zadel	wippen	2.1635099876855777
roos	zitten	2.4973174184289215
straat	zetten	1.3447677810374692
vuur	spelen	0.43129937405046964
kraag	vatten	1.2680454887993002
ziel	trappen	1.6522243175386737
handschoen	trouwen	0.6144138025584011
knie	krijgen	2.4695140628027596
wijs	brengen	0.41549266031682586
broek	doen	0.4415138229574801
vinger	hebben	0.960356130477789
deur	houden	0.9623925498036406
hand	houden	0.8056880562198645
achterhoofd	houden	1.4114298890808212
lat	staan	1.752098083981772
bocht	gaan	1.0071589074133314
aarde	vertrouwen	-0.26918497637819583
voet	maken	-0.35573927224592644
lappenmand	zitten	2.0557020867442444
